BLOCK_NAME;LAYER;NOMBRE;COLOR;MARCA;MODELO;X;Y;ROT;SX;SY
'Mouse';'Mouse';'Mouse';'Negro';'LOGITECH';'M170';4450259;1468992;0;-1000;1000
'Mouse';'Mouse';'Mouse';'Negro';'LOGITECH';'M170';5075999;1473529;0;-1000;1000
'Mouse';'Mouse';'Mouse';'Negro';'LOGITECH';'M170';5651494;1463313;0;-1000;1000
'Teclado';'0';'Teclado';'Negro';'HP';' HP 230 (3L1E7AA)';4138973;1481242;0;-1000;1000
'Teclado';'0';'Teclado';'Negro';'HP';' HP 230 (3L1E7AA)';4726808;1473802;0;-1000;1000
'Teclado';'0';'Teclado';'Negro';'HP';' HP 230 (3L1E7AA)';5350999;1473529;0;-1000;1000
'Teclado';'0';'Teclado';'Negro';'HP';' HP 230 (3L1E7AA)';5915675;1471230;0;-1000;1000
'Mouse';'Mouse';'Mouse';'Negro';'LOGITECH';'M170';6143314;1055404;0;1000;1000
'Mouse';'Mouse';'Mouse';'Negro';'LOGITECH';'M170';5556351;1053559;0;1000;1000
'Mouse';'Mouse';'Mouse';'Negro';'LOGITECH';'M170';4930611;1058096;0;1000;1000
'Mouse';'Mouse';'Mouse';'Negro';'LOGITECH';'M170';4355116;1047880;0;1000;1000
'Teclado';'0';'Teclado';'Negro';'HP';' HP 230 (3L1E7AA)';5867637;1065809;0;1000;1000
'Teclado';'0';'Teclado';'Negro';'HP';' HP 230 (3L1E7AA)';5279802;1058369;0;1000;1000
'Teclado';'0';'Teclado';'Negro';'HP';' HP 230 (3L1E7AA)';4655611;1058096;0;1000;1000
'Teclado';'0';'Teclado';'Negro';'HP';' HP 230 (3L1E7AA)';4090935;1055798;0;1000;1000
'Pantalla';'Pantalla';'Pantalla';'Negro';'HP';'V24I';2834208;3492789;0;1000;1000
'Pantalla';'Pantalla';'Pantalla';'Negro';'HP';'V24I';5929749;3493061;0;1000;1000
'Pantalla';'Pantalla';'Pantalla';'Negro';'HP';'V24I';5308034;3492442;0;1000;1000
'Pantalla';'Pantalla';'Pantalla';'Negro';'HP';'V24I';4657390;3492789;0;1000;1000
'Pantalla';'Pantalla';'Pantalla';'Negro';'HP';'V24I';3985317;3490535;0;1000;1000
'Pantalla';'Pantalla';'Pantalla';'Negro';'HP';'V24I';3398483;3492411;0;1000;1000
'Pantalla';'Pantalla';'Pantalla';'Negro';'HP';'V24I';5948224;3378169;0;1000;1000
'Pantalla';'Pantalla';'Pantalla';'Negro';'HP';'V24I';5388370;3373266;0;1000;1000
'Pantalla';'Pantalla';'Pantalla';'Negro';'HP';'V24I';4794669;3363461;0;1000;1000
'Pantalla';'Pantalla';'Pantalla';'Negro';'HP';'V24I';4120009;3373754;0;1000;1000
'Pantalla';'Pantalla';'Pantalla';'Negro';'HP';'V24I';3482149;3376205;0;1000;1000
'Pantalla';'Pantalla';'Pantalla';'Negro';'HP';'V24I';2890902;3373754;0;1000;1000
'Pantalla';'Pantalla';'Pantalla';'Negro';'HP';'V24I';5909966;1317407;0;1000;1000
'Pantalla';'Pantalla';'Pantalla';'Negro';'HP';'V24I';5334233;1314374;0;1000;1000
'Pantalla';'Pantalla';'Pantalla';'Negro';'HP';'V24I';4719197;1312908;0;1000;1000
'Pantalla';'Pantalla';'Pantalla';'Negro';'HP';'V24I';4146729;1312908;0;1000;1000
'Pantalla';'Pantalla';'Pantalla';'Negro';'HP';'V24I';5915082;1230360;0;1000;1000
'Pantalla';'Pantalla';'Pantalla';'Negro';'HP';'V24I';5333484;1218544;0;1000;1000
'Pantalla';'Pantalla';'Pantalla';'Negro';'HP';'V24I';4715392;1212635;0;1000;1000
'Pantalla';'Pantalla';'Pantalla';'Negro';'HP';'V24I';4138703;1209680;0;1000;1000
'Escritorio';'Escritorio';'Escritorio grande';'Gris';'Charlie SAS';'ET200';4399355;5556842;0;1000;1000
'Escritorio';'Escritorio';'Escritorio grande';'Gris';'Charlie SAS';'ET200';4385613;3414562;0;1000;1000
'Escritorio profe';'0';'Escritorio del profesor';'Gris';'Charlie SAS';'ET-Mini';1311714;6387584;0;1000;1000
'Escritorio peque';'Escritorio 3';'Escritorio peque�o';'Caf�';'Charlie SAS';'ET120';4992035;1269370;0;1000;1000
